resume_text,skills_count,keywords_count,format_score,experience_years,education_score,selected
"Creativity, Big Data, JavaScript, Data Science, Adaptability, CSS, HTML, AI, Communication, Project Management",10,2,7,7,9,1
"CSS, Leadership, JavaScript, Project Management, AI, Cloud Computing, Python, Problem-Solving, Deep Learning",9,3,5,0,9,1
"Leadership, Time Management, Communication, Java, SQL, JavaScript, C++, Problem-Solving, Data Science",9,2,6,11,7,1
"Java, Leadership, Data Science, Time Management, Problem-Solving",5,2,6,13,7,1
"Java, CSS, Creativity, Project Management, Time Management, JavaScript, Teamwork, Data Science, Adaptability, Communication",10,1,5,18,5,1
"CSS, Communication, Java, SQL, Deep Learning, Python",6,1,6,10,5,1
"Leadership, Adaptability, Problem-Solving, SQL, Cloud Computing",5,1,9,16,10,1
"Adaptability, AI, Big Data, Deep Learning, Machine Learning, Teamwork",6,2,10,13,7,1
"Deep Learning, Adaptability, C++, Python, Data Science, Java, Cloud Computing, Project Management, Machine Learning",9,3,5,16,5,1
"Machine Learning, CSS, Time Management, AI, Big Data, Cloud Computing, Project Management, Java",8,2,5,1,7,0
"Problem-Solving, Big Data, Cloud Computing, JavaScript, Project Management, Java, Data Science, SQL, Time Management",9,1,6,2,7,0
"Time Management, Creativity, Deep Learning, JavaScript, Cloud Computing, Python, AI, Teamwork, Data Science",9,3,7,2,9,1
"Adaptability, C++, Big Data, Project Management, Deep Learning",5,0,9,8,7,1
"Big Data, Java, C++, JavaScript, Communication, Leadership, Data Science",7,2,5,14,9,1
"Python, Adaptability, Java, Deep Learning, CSS",5,1,6,8,5,1
"AI, Data Science, JavaScript, Adaptability, Java, Problem-Solving, HTML, Cloud Computing, Python",9,3,7,1,5,0
"Data Science, Time Management, Communication, C++, Big Data",5,1,7,5,7,0
"Project Management, Creativity, Leadership, Python, Teamwork",5,2,9,9,5,1
"C++, SQL, Java, AI, Machine Learning, Adaptability, Cloud Computing, Teamwork, Problem-Solving, Leadership",10,3,8,13,10,1
"HTML, Teamwork, Python, C++, Adaptability, Project Management, Cloud Computing, Data Science, Deep Learning",9,2,8,1,5,0
"C++, Problem-Solving, Machine Learning, JavaScript, Project Management, Deep Learning, Adaptability",7,1,6,16,5,1
"CSS, JavaScript, Data Science, Leadership, Deep Learning",5,2,8,13,5,1
"SQL, AI, Teamwork, HTML, Java, Adaptability, CSS, Communication",8,1,8,6,7,1
"Data Science, JavaScript, C++, Creativity, Big Data, Adaptability, HTML, Cloud Computing, CSS",9,1,10,13,5,1
"Time Management, Leadership, HTML, Creativity, Cloud Computing, Big Data, Problem-Solving, SQL",8,1,9,18,9,1
"AI, Problem-Solving, HTML, Machine Learning, C++, CSS, Project Management, Adaptability, SQL",9,2,10,1,5,0
"Communication, Cloud Computing, Teamwork, Machine Learning, Creativity, HTML",6,1,8,4,5,0
"Communication, Deep Learning, Creativity, C++, Python, Problem-Solving, HTML, Time Management, Machine Learning",9,2,9,7,5,1
"Python, HTML, Communication, Cloud Computing, Creativity, Time Management, Java, AI, Problem-Solving, JavaScript",10,2,9,1,5,0
"CSS, Data Science, C++, Problem-Solving, Leadership, Cloud Computing",6,2,5,16,9,1
"Python, Problem-Solving, Creativity, Teamwork, SQL, C++",6,1,6,6,5,0
"Time Management, Project Management, Deep Learning, AI, CSS",5,1,7,1,9,0
"Project Management, AI, Problem-Solving, Java, Creativity",5,1,8,4,7,0
"AI, Time Management, Big Data, Data Science, CSS, Python, HTML",7,3,10,4,10,1
"Project Management, Problem-Solving, SQL, Machine Learning, Creativity",5,1,10,9,7,1
"Deep Learning, Machine Learning, Problem-Solving, SQL, Cloud Computing, Teamwork, Adaptability, Creativity, Leadership",9,2,7,17,7,1
"Teamwork, Cloud Computing, Machine Learning, Python, Deep Learning, C++, SQL, CSS",8,2,7,12,10,1
"Project Management, Python, Problem-Solving, Cloud Computing, Machine Learning, Big Data, Teamwork, Communication, Java",9,2,9,5,10,1
"JavaScript, Creativity, Problem-Solving, Leadership, Machine Learning, AI",6,3,10,9,5,1
"AI, SQL, Adaptability, Data Science, Python",5,3,7,19,10,1
"Problem-Solving, Communication, Machine Learning, Time Management, Deep Learning, Big Data, Project Management",7,1,10,19,9,1
"C++, Project Management, CSS, Time Management, Machine Learning, Deep Learning, Problem-Solving, Python",8,2,8,16,7,1
"Leadership, Deep Learning, Big Data, Time Management, HTML, SQL, Java",7,1,8,1,5,0
"Deep Learning, JavaScript, CSS, Creativity, Big Data, Python, Java, AI, Communication, Machine Learning",10,3,5,2,7,1
"C++, Java, Machine Learning, Adaptability, SQL, Data Science",6,2,10,2,7,0
"JavaScript, Adaptability, Leadership, Machine Learning, Java, Creativity, SQL, Time Management, Python, Big Data",10,3,9,1,5,0
"HTML, SQL, Problem-Solving, Big Data, Machine Learning, Communication, Creativity, Cloud Computing, Data Science, Time Management",10,2,9,18,10,1
"Teamwork, Leadership, Data Science, JavaScript, Project Management, Creativity",6,2,5,13,7,1
"CSS, Java, C++, JavaScript, Teamwork, HTML",6,0,8,11,10,1
"Machine Learning, AI, HTML, JavaScript, Java, Data Science",6,3,6,7,5,1
"Python, Java, Leadership, Big Data, Adaptability, SQL, Teamwork, Cloud Computing, Creativity, Communication",10,2,5,2,10,1
"Creativity, C++, CSS, Problem-Solving, HTML",5,0,9,13,10,1
"Teamwork, Machine Learning, Project Management, HTML, Creativity, Communication, SQL, Deep Learning",8,1,6,17,10,1
"Leadership, SQL, Adaptability, Machine Learning, Project Management, Data Science, C++, Python",8,4,10,7,9,1
"Teamwork, Java, Deep Learning, Data Science, C++, Problem-Solving, Communication, Project Management, Python, Machine Learning",10,3,5,4,10,1
"Communication, Big Data, HTML, Deep Learning, Java, Cloud Computing, Data Science, Adaptability",8,1,7,11,9,1
"HTML, CSS, Python, Deep Learning, C++, SQL, Problem-Solving, Creativity",8,1,9,8,9,1
"Teamwork, Adaptability, Project Management, Python, Time Management, Cloud Computing, SQL",7,1,8,8,7,1
"HTML, Adaptability, Data Science, Python, CSS, JavaScript, Teamwork",7,2,7,9,7,1
"Time Management, C++, Communication, CSS, Problem-Solving, Deep Learning, JavaScript, Creativity, SQL, AI",10,1,10,2,7,1
"Adaptability, Communication, AI, Project Management, Time Management, C++, Problem-Solving, Deep Learning, JavaScript, Big Data",10,1,9,7,7,1
"Machine Learning, SQL, Leadership, HTML, Adaptability",5,2,9,14,5,1
"CSS, Deep Learning, C++, HTML, Leadership, Communication",6,1,9,15,5,1
"Problem-Solving, Data Science, C++, Java, SQL, Project Management, Big Data, Teamwork, HTML, Python",10,2,10,19,9,1
"Leadership, Time Management, Data Science, Problem-Solving, Java, Deep Learning",6,2,6,8,9,1
"Java, Communication, Problem-Solving, CSS, Data Science",5,1,9,8,10,1
"Teamwork, Big Data, HTML, Project Management, JavaScript, Python, Creativity",7,1,5,14,5,1
"Time Management, Machine Learning, CSS, SQL, C++",5,1,9,19,9,1
"Leadership, Teamwork, Creativity, Time Management, Deep Learning, AI, Machine Learning, Big Data, Problem-Solving, C++",10,3,7,6,10,1
"CSS, Deep Learning, Project Management, C++, Time Management, Cloud Computing, Java",7,0,5,17,10,1
"Project Management, AI, Problem-Solving, Communication, Data Science, JavaScript, C++, Teamwork",8,2,9,17,10,1
"Big Data, Communication, Adaptability, JavaScript, CSS, Machine Learning, Leadership",7,2,5,3,7,0
"CSS, Project Management, Adaptability, Communication, Leadership, C++, Data Science, Cloud Computing, HTML",9,2,6,5,9,1
"Time Management, Big Data, HTML, Creativity, Data Science, Java, AI, CSS, Project Management",9,2,10,3,9,1
"Problem-Solving, Java, SQL, Creativity, CSS, Teamwork, Time Management, AI, C++, HTML",10,1,7,9,5,1
"Time Management, Project Management, Leadership, Big Data, Deep Learning",5,1,7,0,10,0
"Data Science, Leadership, Java, Creativity, Deep Learning, Big Data, CSS, Teamwork, AI",9,3,10,1,9,1
"Adaptability, Python, CSS, Deep Learning, Problem-Solving, Communication, Creativity",7,1,9,19,7,1
"Deep Learning, Time Management, Python, JavaScript, Leadership, HTML",6,2,10,4,9,1
"Leadership, Communication, C++, Big Data, JavaScript, Problem-Solving, Machine Learning, Deep Learning, Data Science",9,3,7,14,10,1
"Java, SQL, Adaptability, Leadership, Project Management, Communication",6,1,6,20,7,1
"CSS, Data Science, Java, Python, Communication",5,2,6,8,7,1
"Python, Adaptability, Teamwork, Cloud Computing, Leadership, Project Management, Communication",7,2,7,1,7,0
"Time Management, CSS, Java, Data Science, Cloud Computing, C++, Problem-Solving, Teamwork",8,1,8,19,5,1
"Big Data, CSS, Adaptability, HTML, JavaScript, Deep Learning",6,0,5,12,7,1
"HTML, Python, SQL, Creativity, Cloud Computing, Leadership, Time Management",7,2,5,16,9,1
"Time Management, JavaScript, Python, Deep Learning, CSS",5,1,7,2,5,0
"AI, Cloud Computing, Java, HTML, Machine Learning, Python, Problem-Solving",7,3,6,13,9,1
"CSS, Problem-Solving, Adaptability, Machine Learning, Teamwork, AI",6,2,6,6,5,0
"Adaptability, Creativity, Leadership, Machine Learning, Deep Learning, HTML, SQL, Python, Communication, Problem-Solving",10,3,8,7,10,1
"SQL, Leadership, AI, Python, Machine Learning, Data Science, Creativity",7,5,5,12,9,1
"Time Management, Machine Learning, JavaScript, Creativity, Cloud Computing, HTML, Deep Learning",7,1,6,4,7,0
"Leadership, Cloud Computing, Communication, Time Management, Project Management, C++, CSS",7,1,7,7,10,1
"Big Data, Deep Learning, Machine Learning, Java, Creativity, Problem-Solving",6,1,6,2,9,0
"Time Management, Creativity, SQL, AI, Project Management, Teamwork, Machine Learning, Problem-Solving, Big Data",9,2,6,14,10,1
"Problem-Solving, Java, Python, Leadership, Teamwork, JavaScript, Data Science",7,3,10,13,9,1
"Teamwork, Java, AI, CSS, HTML, Communication, Data Science",7,2,10,4,5,0
"Cloud Computing, Python, CSS, Java, Deep Learning, Teamwork, Project Management",7,1,9,3,7,0
"Machine Learning, Communication, JavaScript, CSS, Leadership, AI, Big Data, Adaptability, Deep Learning, Python",10,4,6,15,7,1
"Creativity, Machine Learning, Leadership, Cloud Computing, SQL, Java",6,2,10,18,7,1
"Leadership, Java, Python, Project Management, AI, Adaptability",6,3,8,6,5,1
"JavaScript, AI, Problem-Solving, Python, Leadership, Adaptability, C++, Teamwork",8,3,7,14,9,1
"Teamwork, SQL, Adaptability, Big Data, HTML, Problem-Solving, CSS, Python, Data Science, Time Management",10,2,6,20,7,1
"Cloud Computing, Python, Creativity, Data Science, Big Data, Adaptability, Communication, AI, CSS, Leadership",10,4,6,7,7,1
"Project Management, Python, Cloud Computing, Data Science, C++",5,2,8,1,9,0
"Teamwork, HTML, Time Management, C++, Machine Learning, Cloud Computing, Python, Big Data, Communication",9,2,6,3,10,1
"Machine Learning, HTML, Data Science, Cloud Computing, Creativity",5,2,9,6,5,1
"Cloud Computing, C++, Teamwork, Communication, Leadership, Java, Data Science, Creativity, Python",9,3,10,13,5,1
"Python, HTML, Adaptability, Time Management, Cloud Computing, Project Management",6,1,6,15,5,1
"SQL, HTML, JavaScript, Problem-Solving, CSS, Big Data, Teamwork, Project Management",8,0,8,6,5,0
"Communication, Data Science, Teamwork, Python, Time Management, SQL, Problem-Solving",7,2,5,17,10,1
"Python, Deep Learning, Java, Project Management, Data Science, Cloud Computing, Adaptability, Big Data, CSS",9,2,5,16,9,1
"Leadership, Machine Learning, Teamwork, Big Data, Data Science",5,3,5,6,7,1
"Data Science, Teamwork, Python, SQL, Big Data, AI, Problem-Solving, CSS, Deep Learning, Java",10,3,6,13,9,1
"Machine Learning, Project Management, Time Management, Big Data, Problem-Solving",5,1,5,11,7,1
"Python, Communication, CSS, Project Management, Big Data, Creativity, HTML, Leadership, Teamwork, JavaScript",10,2,5,4,5,0
"Python, Time Management, Communication, Creativity, Data Science, C++, Leadership, Cloud Computing",8,3,8,7,9,1
"Big Data, Adaptability, Data Science, Communication, Cloud Computing, Python, Teamwork",7,2,10,16,9,1
"CSS, SQL, C++, Cloud Computing, AI, Java, Machine Learning, Teamwork, Adaptability",9,2,9,18,9,1
"JavaScript, HTML, C++, Leadership, Big Data, Communication, Data Science",7,2,10,3,5,0
"Time Management, HTML, CSS, AI, C++",5,1,8,18,9,1
"Java, Creativity, Python, Deep Learning, HTML, Teamwork, AI, Problem-Solving, JavaScript",9,2,7,19,10,1
"JavaScript, AI, Project Management, SQL, Time Management, Adaptability",6,1,6,15,7,1
"Time Management, Deep Learning, Leadership, HTML, SQL, Project Management, Communication, Data Science, Adaptability, Cloud Computing",10,2,10,13,9,1
"Leadership, C++, Project Management, HTML, CSS, JavaScript, Big Data, Time Management",8,1,6,20,5,1
"C++, JavaScript, Cloud Computing, Communication, Project Management, Problem-Solving",6,0,7,19,10,1
"Adaptability, Big Data, Deep Learning, Python, AI, Machine Learning, JavaScript",7,3,7,15,7,1
"Python, Cloud Computing, Java, Data Science, JavaScript, Leadership, Project Management",7,3,10,17,5,1
"Java, Problem-Solving, Adaptability, Machine Learning, Deep Learning, Data Science, JavaScript, AI, C++",9,3,8,15,9,1
"HTML, Cloud Computing, Problem-Solving, Teamwork, Machine Learning, Time Management, Creativity, Big Data, CSS",9,1,9,19,9,1
"JavaScript, Python, AI, HTML, Big Data",5,2,8,1,10,1
"SQL, Data Science, Creativity, Adaptability, CSS, Communication, HTML, Big Data, AI, Teamwork",10,2,10,3,7,1
"JavaScript, Java, C++, Creativity, Python, Adaptability",6,1,5,7,10,1
"Adaptability, Communication, Leadership, Machine Learning, C++, Problem-Solving, Cloud Computing, Deep Learning, Project Management, CSS",10,2,6,12,5,1
"Java, Project Management, Python, SQL, Adaptability, C++, Time Management, Teamwork, Leadership",9,2,7,9,10,1
"Leadership, Cloud Computing, CSS, Creativity, JavaScript, Machine Learning",6,2,10,2,9,1
"Time Management, Problem-Solving, Big Data, Python, Communication, Creativity, Project Management, Teamwork, Cloud Computing",9,1,10,6,5,1
"Teamwork, Big Data, Python, Java, AI",5,2,9,5,5,0
"AI, JavaScript, Communication, Big Data, Cloud Computing, Java, Time Management, Data Science",8,2,5,4,7,1
"C++, Teamwork, Cloud Computing, Problem-Solving, Time Management, Data Science",6,1,10,14,9,1
"Teamwork, Python, Leadership, Time Management, JavaScript, Data Science",6,3,9,17,10,1
"Data Science, Java, AI, CSS, JavaScript, Big Data",6,2,5,3,9,1
"Java, SQL, Cloud Computing, Deep Learning, Project Management, Data Science, Teamwork",7,1,5,13,5,1
"Creativity, Communication, Leadership, Problem-Solving, Project Management, SQL, Big Data, Java",8,1,9,0,10,1
"Teamwork, C++, Adaptability, Cloud Computing, CSS, Leadership, Time Management, JavaScript, AI, Communication",10,2,8,19,9,1
"Java, C++, CSS, Teamwork, Time Management, Deep Learning, Cloud Computing, AI",8,1,9,3,10,1
"Machine Learning, AI, Teamwork, Time Management, Data Science, JavaScript, Problem-Solving",7,3,7,8,9,1
"C++, SQL, Cloud Computing, Project Management, Problem-Solving, Creativity, Python, Deep Learning, CSS",9,1,9,14,9,1
"Cloud Computing, Big Data, CSS, Python, JavaScript, Project Management, Communication, C++",8,1,7,19,9,1
"Big Data, SQL, HTML, Machine Learning, Communication, Adaptability, Cloud Computing",7,1,5,2,5,0
"Teamwork, CSS, Communication, Project Management, Creativity, Java, C++, Cloud Computing, Problem-Solving, Python",10,1,8,14,10,1
"Data Science, Deep Learning, Machine Learning, Java, Cloud Computing, JavaScript, Python",7,3,7,1,9,1
"Project Management, SQL, JavaScript, Data Science, Teamwork, Time Management, Leadership, Deep Learning, Big Data",9,2,7,0,9,1
"Adaptability, Python, CSS, SQL, Cloud Computing, Deep Learning",6,1,5,10,9,1
"CSS, Problem-Solving, Data Science, Adaptability, AI, Creativity, Teamwork, JavaScript",8,2,8,19,5,1
"JavaScript, Creativity, SQL, Teamwork, Time Management, Leadership",6,1,6,5,9,1
"CSS, Communication, C++, Python, Machine Learning, SQL, Creativity, Project Management",8,2,7,16,10,1
"JavaScript, Creativity, Big Data, Time Management, Adaptability, Leadership, Deep Learning, AI, Python, HTML",10,3,8,9,9,1
"Java, Data Science, Leadership, JavaScript, Adaptability",5,2,8,19,9,1
"JavaScript, Communication, Cloud Computing, Deep Learning, AI",5,1,6,14,5,1
"Problem-Solving, Teamwork, Time Management, Python, Adaptability, Data Science, Big Data",7,2,10,2,5,0
"Java, Teamwork, Machine Learning, Project Management, Problem-Solving, C++, Time Management, Adaptability, Deep Learning",9,1,7,13,7,1
"Deep Learning, Machine Learning, Communication, Project Management, Adaptability",5,1,5,15,9,1
"Creativity, C++, HTML, Big Data, Project Management, Adaptability, Teamwork",7,0,8,3,10,1
"Python, HTML, Machine Learning, Leadership, CSS, Deep Learning, Project Management, Adaptability, Cloud Computing",9,3,10,19,7,1
"Communication, Leadership, Time Management, Teamwork, Project Management, Data Science, SQL",7,2,7,2,7,0
"Time Management, C++, Big Data, SQL, AI",5,1,10,19,10,1
"JavaScript, Creativity, Java, Problem-Solving, Leadership, CSS, Data Science, Deep Learning, Time Management, C++",10,2,5,17,7,1
"Big Data, HTML, Cloud Computing, Time Management, Project Management",5,0,6,12,7,1
"Adaptability, Java, Communication, SQL, Cloud Computing, HTML, Machine Learning",7,1,7,13,7,1
"JavaScript, Deep Learning, Big Data, Machine Learning, HTML, Java",6,1,8,15,9,1
"Leadership, HTML, Data Science, Machine Learning, AI, Problem-Solving",6,4,6,16,10,1
"Big Data, AI, Python, Teamwork, Time Management, Adaptability, CSS, JavaScript",8,2,5,10,9,1
"Java, CSS, SQL, Communication, Cloud Computing, Adaptability, Problem-Solving, C++, Time Management, Leadership",10,1,9,8,7,1
"C++, Teamwork, CSS, Leadership, Cloud Computing, Data Science, Problem-Solving",7,2,10,10,9,1
"JavaScript, Leadership, AI, Problem-Solving, CSS, Adaptability",6,2,7,8,9,1
